species,label,speciescn,taxid,groups,description
Prevotella intermedia,Pathogenicity,中间普雷沃菌,28131,bacteria,中间普雷沃菌是革兰氏阴性专性厌氧杆菌，是口腔的正常菌群之一，在健康的口腔，尤其是在青少年口腔的龈下菌斑中有较高的检出率，是根尖周感染的重要致病菌，与多种牙周病变相关，如成人牙周炎、妊娠性龈炎、急性坏死性龈炎、牙周脓肿、艾滋病相关性牙周病等。此外，中间普雷沃菌还是坏疽性口炎以及肺部感染的重要致病菌。在眼科，普雷沃菌属可引起慢性结膜炎、接触镜相关角膜炎、泪囊炎以及眼眶蜂窝织炎；也有文献报道由于普雷沃菌属引起的白内障术后眼内炎，但较罕见。
Prevotella loescheii,Pathogenicity,洛氏普雷沃菌,840,bacteria,洛氏普雷沃菌是一种革兰氏阴性厌氧杆菌，普雷沃氏菌属的一种。该菌是口腔微生物的重要组成部分，可从人类牙周中分离出来，与多种形式的牙周疾病有关。有案例报道普雷沃氏菌可引起眼部感染，在厌氧菌引起的眼部感染报道中，最常见的引起泪囊炎的厌氧菌有胃链球菌、丙酸杆菌、普雷沃氏菌和梭杆菌。
Prevotella melaninogenica,Pathogenicity,产黑素普雷沃菌,28132,bacteria,产黑素普雷沃菌是革兰氏阴性厌氧杆菌，普雷沃氏菌属的一种， 是临床常见的条件致病菌。通常寄居于人类口腔和女性生殖道等部位，特定条件下可引起这些部位组织感染。
Primate erythroparvovirus 1,Background,细小viralB19,3052189,viral,常见背景微生物
Primate T-lymphotropic virus 1,Pathogenicity,人T细胞白血病viral1型,194440,viral,人T细胞白血病viral1型( human T-cell leukemiavirus type 1) ，也称为人嗜T细胞viral1型( humanT-lymphotropic virus type 1，HTLV-1) ，是在1980年发现的一种和人类T淋巴细胞白血病密切相关的逆转录viral。迄今为止，该viral在全球一共发现了四种亚型，约1000万人感染了该viral，感染后的大部分人群呈隐性携带状态，只有少部分患者最终出现相关疾病。HTLV-1在眼部可引起HTLV-1葡萄膜炎、干燥性角结膜炎、间质性角膜炎和成人T细胞白血病-淋巴瘤。
Propionibacterium acidifaciens,Background,产酸丙酸杆菌,556499,bacteria,常见背景微生物
Propionimicrobium lymphophilum,Background,嗜淋巴丙酸杆菌,33012,bacteria,常见背景微生物
Proteus mirabilis,Pathogenicity,奇异变形杆菌,584,bacteria,奇异变形杆菌广泛分布于自然界和人与动物体表，是一种较常见的机会致病菌。在人或动物体内或体表的适宜环境生长并大量繁殖时，可诱发尿道炎、肾/尿道结石、肾盂肾炎、中耳炎、菌血症及小儿急、 慢性腹泻、脊髓炎等多种疾病，严重时可致死。在眼科中有报道引起结膜炎、感染性角膜炎和感染性眼内炎。
Pseudomonas aeruginosa,Both,铜绿假单胞菌,287,bacteria,铜绿假单胞菌是医院感染的主要病原菌，是下呼吸道最为常见的致病菌之一，可引起伤口感染、下呼吸道感染、泌尿道感染、菌血症等严重感染。此外，铜绿假单胞菌还是导致角膜感染中比例占第一位的bacteria。
Aureobasidium pullulans,Pathogenicity,黑酵母菌,5580,fungi,常见背景微生物
Purpureocillium lilacinum,Both,P. lilacinum,33203,fungi,是一种腐生丝状霉菌。在接受抗菌治疗、肿瘤化疗、原发性或获得性免疫缺陷、骨髓和实体器官移植通常在免疫功能低下的患者中更常见，常表现为眼部感染、皮肤或皮下感染。曾有该病原体在免疫力低下患者中引起角膜炎以及内源性眼内炎的报道。
Rhizomucor pusillus,Both,微小根毛霉,4840,fungi,微小根毛菌是根毛霉属的一种条件致病fungi，引起人体发病的诱因是糖尿病、激素的使用以及肿瘤化疗、放疗损害，可导致肺部感染、血流感染、组织蜂窝炎等疾病。作为一种继发性深部fungi，发病率高，肺部感染较为常见，病情发展迅速；其次微小根毛菌感染破坏性大，病情发展迅速，可造成组织坏死、血管内血栓形成，因其缺乏特异性的症状，容易发生漏诊，死亡率高。
Rhodotorula mucilaginosa,Both,胶红酵母,5537,fungi,胶红酵母属于红酵母属，较常见于环境中，是一种条件致病菌，文献发现该属fungi可引起心内膜炎、腹膜炎、脑膜炎以及皮肤、假体关节和眼部感染，胶红酵母是红酵母属眼部感染最常见的病原菌，可引起fungi性角膜炎和眼内炎，最常见的治疗药物是两性霉素B，也有病例系列报道显示红酵母属对棘白菌素、氟康唑、伏立康唑敏感。
Roseomonas mucosa,Both,粘液玫瑰单胞菌,207340,bacteria,粘液玫瑰单胞菌是一种粉红色的，革兰氏阴性，需氧的小球杆菌，为条件致病菌。该菌多是从一些临床病人标本中分离获得，也存在于水，土壤等自然环境中。临床中有关该菌引起菌血症的报告较为多见。也有临床报告一例由玫瑰单胞菌引起的术后慢性眼内炎的案例，玫瑰单胞菌引起慢性眼内炎，容易误诊、延误治疗，造成眼损伤和严重视力丧失。
Rothia kristinae,Pathogenicity,Rothia kristinae,37923,bacteria,Rothia kristinae属于罗氏菌属革兰氏阳性菌，一般认为Rothia kristinae是皮肤和口腔粘膜的定植菌群，有文献报道Kocuria kristinae可引起人类眼部感染，导致角膜炎、泪囊炎和眼内炎。
Rubella virus,Pathogenicity,风疹viral,11041,viral,风疹viral是一种RNAviral，经呼吸道飞沫传播。孕妇感染风疹viral可导致流产、死胎或畸胎。研究表明Fuchs葡萄膜炎综合征与风疹viral的持续感染有关。
Scedosporium apiospermum,Both,尖端赛多孢子菌,563466,fungi,尖端赛多孢子菌隶属于赛多孢子菌属，是一种侵袭性和致病性较强的条件致病菌，可侵犯人体的多种器官导致各类疾病。尖端赛多孢子菌普遍存在于自然界中，有临床报告该病原体可引起眼部、皮肤、肺部，以及中枢神经系统感染的案例。角膜炎是尖端赛多孢子菌感染最常见的眼部受累形式，最常见的临床症状为眼痛、视力下降、畏光、流泪。但它也可以引起更广泛的眼部疾病，包括来源如肺部和心脏感染的内源性眼内炎、术后迟发性眼内炎、视网膜炎。
Scedosporium aurantiacum,Both,桔黄赛多孢菌,315946,fungi,"赛多孢子菌为条件致病菌，主要经呼吸道吸入和经皮肤黏膜外伤侵入人体。在健康人群多表现为局部感染，免疫异常患者则可发生播散性感染。常见受累器官为皮肤、眼、肺和脑；桔黄赛多孢菌可在慢性肺病患者中出现定植情况,致病机理尚不明确，其感染临床特征、影像学及病理组织学检查均无特异性。文献报道桔黄赛多孢菌可导致眼外伤患者发生巩膜炎、角膜溃疡和眼内炎。"
Schizophyllum commune,Pathogenicity,裂褶菌,5334,fungi,裂褶菌是丝状担子菌病的主要致病原之一，可引起脑部、呼吸道感染，多发生在免疫抑制患者中，眼部感染较为少见，但也有报道裂褶菌引起角膜溃疡、白内障术后眼内炎的病例。
Serratia marcescens,Both,粘质沙雷氏菌,615,bacteria,粘质沙雷氏菌参与医院获得性感染（HAIs），特别是与导管相关的菌血症，尿路感染和伤口感染。粘质沙雷氏菌可引起几个部位的机会性感染，包括泌尿道，呼吸道，伤口和眼睛，它们可能会导致结膜炎，角膜炎， 眼内炎和泪管感染。还会引起早期婴儿的胃肠炎。
Severe acute respiratory syndrome coronavirus 2,Both,新型冠状viral,2697049,viral,新型冠状viral（SARS-CoV-2）属于β属的冠状viral，在潜伏期即有传染性，潜伏期 1～14 天，多为 3～7 天，发病后 5 天内传染性较强，主要传播途径是经呼吸道飞沫和密切接触传播，以发热、干咳、乏力为主要表现，部分患者以鼻塞、流涕、咽痛、嗅觉味觉减退或丧失、结膜炎、肌痛和腹泻等为主要表现。重症患者多在发病一周后出现呼吸困难和（或）低氧血症，严重者可快速进展为急性呼吸窘迫综合征、脓毒症休克、难以纠正的代谢性酸中毒和出凝血功能障碍及多器官功能衰竭等。新型冠状viral在眼部还可以引起一些眼底表现，包括视网膜出血和棉绒斑，静脉阻塞，动脉阻塞，玻璃体炎，后葡萄膜炎，视网膜血管扩张。
Shewanella algae,Both,海藻希瓦氏菌,38313,bacteria,海藻希瓦氏菌是革兰氏阴性菌，属于希瓦氏菌属。常在海洋环境中被分离出，人类多通过食用或接触未加工的海产品等引起皮肤软组织感染，并且产生的神经毒素会引起全身感染。临床文献报道海藻希瓦氏菌可引起溃疡性角膜炎，此外有1例引起小儿眼眶脓肿合并软脑膜炎的报道。
Shewanella putrefaciens,Both,腐败希瓦氏菌,24,bacteria,腐败希瓦氏菌是希瓦氏菌属的革兰阴性多形菌，是一种较为罕见的人类病原体。由该菌引起的人类疾病主要与皮肤和组织感染、菌血症、耳炎、腹部或胆道感染相关，其次也有较少文献报道与眼睛、呼吸道、骨骼、尿道或心脏感染有关。1例文献报道腐败希瓦氏菌引起的鱼钩创伤后的外伤性眼内炎。
Sporothrix pallida,Pathogenicity,白孢子丝菌,431197,fungi,白孢子丝菌属于孢子丝菌复合体，孢子丝菌常见于土壤和腐木中，通过皮肤创口接种感染人类或动物，因此，从事花卉、农业和木材开采的人员易患孢子丝菌病，人类也可通过和动物密切接触感染孢子丝菌。临床主要引起皮肤黏膜、皮下组织及局部淋巴系统的慢性感染性疾病，可播散至全身引起多系统损害，是一种全球性的人畜共患fungi病，临床表现以固定型和淋巴管型为主。有临床报道由白孢子丝菌引起fungi性角膜炎案例。
Staphylococcus arlettae,Background,阿尔莱特葡萄球菌,29378,bacteria,常见背景微生物
Staphylococcus aureus,Both,金黄色葡萄球菌,1280,bacteria,金黄色葡萄球菌是最为常见的非常有侵入性的bacteria病原体，有“嗜肉菌”的别称，是革兰氏阳性菌的代表，常见于呼吸道和皮肤。可引起局部化脓感染，也可引起肺炎、伪膜性肠炎、心包炎等，甚至败血症、脓毒症等全身感染。易造成院内感染及手术后创伤感染。在眼科中有报道可引起感染性角膜炎和感染性眼内炎。
Staphylococcus auricularis,Background,耳葡萄球菌,29379,bacteria,常见背景微生物
Staphylococcus capitis,Both,头状葡萄球菌,29388,bacteria,头状葡萄球菌是葡萄球菌属的重要菌种之一，是革兰氏阳性球菌，以急性化脓性感染为特征，致病性与侵袭性酶类（如血浆凝固酶）和多种毒素有关。在眼科中有报道可引起白内障术后感染性眼内炎。
Staphylococcus caprae,Background,山羊葡萄球菌,29380,bacteria,常见背景微生物
Staphylococcus cohnii,Both,科氏葡萄球菌,29382,bacteria,科氏葡萄球菌是葡萄球菌属的革兰阳性菌，为凝固酶阴性葡萄球菌，是人皮肤的定植菌，科氏葡萄球菌感染人的病例不常见，免疫能力低下人群易感。据报道，科氏葡萄球菌感染病例包括与导管相关性菌血症、假体相关性菌血症、急性胆囊炎、脑脓肿、心内膜炎、肺炎、尿路感染和脓毒性关节炎等。
Staphylococcus condimenti,Both,葡萄球菌,70255,bacteria,常见背景微生物
Staphylococcus epidermidis,Both,表皮葡萄球菌,1282,bacteria,表皮葡萄球菌(SE)是人体皮肤和黏膜上定居的正常菌群之一，通常情况下致病力很低，较少引起全身性的感染；但免疫系统受损的患者有发生感染的危险。表皮葡萄球菌感染以下呼吸道感染及导管相关感染较为常见；病原菌具有较高的耐药性，既往广谱抗生素的暴露也是高危因素。表皮葡萄球菌也是眼部感染的重要致病菌，是眼内炎最常见的检出菌之一。
Staphylococcus equorum,Background,马胃葡萄球菌,246432,bacteria,常见背景微生物
Staphylococcus haemolyticus,Both,溶血葡萄球菌,1283,bacteria,溶血葡萄球菌是一群革兰氏阳性球菌，因常堆聚成葡萄串状，故名。多数为非致病菌，少数可导致疾病。有报道显示在结膜炎患者结膜囊分泌物中分离得到溶血葡萄球菌。
Staphylococcus hominis,Both,人型葡萄球菌,1290,bacteria,人葡萄球菌是一种凝固酶阴性葡萄球菌，常见于医源性感染，是尿路感染、手术后外伤感染、肺部感染的常见病原菌，也是血培养中主要的病原菌。在眼科中有报道可引起感染性眼内炎。
Staphylococcus lugdunensis,Both,路邓葡萄球菌,28035,bacteria,路邓葡萄球菌是隶属于葡萄球菌凝固酶阴性的革兰氏阳性菌，是人类皮肤的正常菌（通常定植于会阴区），在其他部位可以引起多重感染。相较其他凝固酶阴性的葡萄球菌，路邓葡萄球菌毒力强，可引起跟金黄色葡萄球菌感染类似的心内膜炎、骨髓炎、腹膜炎、淋巴结炎、眼炎、皮肤软组织感染、血流感染、中枢神经系统感染、骨关节感染等。有文献报道路邓葡萄球菌可引起急性化脓性角膜炎和急性眼内炎，大多数报告的路邓链球菌性眼内炎病例的特点是眼内手术或开放性眼球损伤后约1周隐匿发作，伴有严重的无痛性视力丧失，通过及时诊断和治疗通常可以获得良好的视力预后。
Staphylococcus nepalensis,Background,尼泊尔葡萄球菌,214473,bacteria,常见背景微生物
Staphylococcus pasteuri,Background,巴氏葡萄球菌,45972,bacteria,常见背景微生物
Staphylococcus pettenkoferi,Background,S. pettenkoferi葡萄球菌,170573,bacteria,常见背景微生物
Staphylococcus saccharolyticus,Background,解糖葡萄球菌,33028,bacteria,常见背景微生物
Staphylococcus saprophyticus,Both,腐生葡萄球菌,29385,bacteria,腐生葡萄球菌是隶属于葡萄球菌属凝固酶阴性的革兰氏阳性菌，是女性生殖道的定植菌，该菌也广泛存在于环境、肉类和奶酪产品、蔬菜、人和动物的胃肠道中。在眼科被报道可引起白内障术后眼内炎。
Staphylococcus simiae,Background,金猿葡萄球菌,308354,bacteria,常见背景微生物
Staphylococcus succinus,Background,琥珀葡萄球菌,61015,bacteria,常见背景微生物
Staphylococcus warneri,Both,沃氏葡萄球菌,1292,bacteria,"沃氏葡萄球菌是葡萄球菌属的一种, 主要存在于环境及人与动物的皮肤和粘膜上, 是一种革兰氏阳性的球形bacteria。在眼科中曾有报道引起泪囊炎以及白内障术后感染性眼内炎。"
Staphylococcus xylosus,Background,木糖葡萄球菌,1288,bacteria,常见背景微生物
Stenotrophomonas maltophilia,Both,嗜麦芽窄食单胞菌,40324,bacteria,嗜麦芽窄食单胞菌是专性需氧革兰氏阴性杆菌，是一种机会性致病菌。该菌可引起呼吸道、泌尿道和伤口感染及心内膜炎、脑膜炎、附睾炎、关节炎、胆管炎、眼内炎以及腹膜透析有关的腹膜炎等。
Streptococcus agalactiae,Both,无乳链球菌,1311,bacteria,无乳链球菌又名B群链球菌（GBS），为革兰阳性bacteria，是一种寄生于人类下消化道及泌尿生殖道的条件致病菌，眼科报道的无乳链球菌感染主要为内源性眼内炎，GBS感染占内源性眼内炎病因的5.2%，视力预后较差。
Streptococcus anginosus,Both,咽峡炎链球菌,1328,bacteria,咽峡炎链球菌属米勒链球菌群，为革兰氏阳性菌。属于条件致病菌，易导致脓肿形成。可引起根管感染、头颈部感染、中枢神经系统感染、腹腔感染、胸腔感染、心内膜炎、菌血症等多部位感染。咽峡炎链球菌眼部感染最常见的表现是眼眶蜂窝组织炎。
Streptococcus australis,Both,澳大利亚链球菌,113107,bacteria,澳大利亚链球菌属于革兰阳性球菌，从儿童口腔中分离出的链球菌菌株，且文献报道澳大利亚链球菌属和口腔链球菌有较近的亲缘性，暂无澳大利亚链球菌致眼部疾病的相关报道，但口腔链球菌可导致眼内炎。
Streptococcus constellatus,Background,星座链球菌,76860,bacteria,常见背景微生物
Streptococcus cristatus,Both,嵴链球菌,45634,bacteria,嵴链球菌属链球菌属，为革兰氏阳性菌。定植于口腔，皮肤以及胃肠道中。能抑制牙周致病菌的毒力，降低牙周炎发病的危险性。临床文献报告1例由嵴链球菌导致的腕部感染性关节炎。
Streptococcus dysgalactiae,Pathogenicity,停乳链球菌,1334,bacteria,停乳链球菌可引起菌血症、心内膜炎、脑膜炎、脓毒症、关节炎、呼吸道和皮肤感染等疾病。在眼科中有报道停乳链球菌可致眼内炎。
Streptococcus equinus,Both,马链球菌,1335,bacteria,常见背景微生物
Streptococcus gordonii,Both,戈登链球菌,1302,bacteria,戈登链球菌是革兰阳性的草绿色链球菌之一，属于草绿色链球菌分类中的血液链球群，是人类口腔粘膜的共生菌，大量存在于牙齿的表面，其一般无致病性，通常在外伤和侵入性操作的医疗行为后发生感染。有报道1例XEN45凝胶支架植入引起的眼内炎，和1例眼睑溃疡性肉芽肿。
Streptococcus halitosis,Pathogenicity,口臭链球菌,2172545,bacteria,口臭链球菌是一种革兰氏阳性厌氧球菌，是从口臭患者舌背分离出的新型bacteria，该菌能够产生一种挥发性硫化合物（VSC）引起的难闻气味，常引起口臭。
Streptococcus intermedius,Background,中间链球菌,1338,bacteria,常见背景微生物
Streptococcus mitis,Both,缓症链球菌,28037,bacteria,缓症链球菌属于人体正常菌群之一，分布口腔为多，是感染性心内膜炎的主要病原菌。在眼科中有引起感染性眼内炎的报道。
Streptococcus oralis,Both,口腔链球菌,1303,bacteria,口腔链球菌为革兰氏染色阳性，兼性厌氧菌。口腔链球菌感染眼部形成眼内炎是玻璃体内注射贝伐单抗的一种破坏性并发症，具有高眼球丢失率和多种严重的病理组织改变，主要临床表现为视网膜脱离、纤维增生伴睫状体膜形成、虹膜红斑和继发性闭角，持续性脉络膜炎症。另有临床报道在复杂的虹膜固定有晶状体眼内 (pIOL) 晶状体植入后发生的轻度口腔链球菌眼内炎感染的案例。
Streptococcus pneumoniae,Both,肺炎链球菌,1313,bacteria,肺炎链球菌通常寄居于正常人的鼻咽腔，多数不致病，只有少数有毒力。当机体抵抗力下降时常可侵入肺组织引起肺炎。此外也可致败血症、鼻窦炎、 中耳炎、眼内炎和化脓性脑膜炎。
Streptococcus pseudopneumoniae,Background,假肺炎链球菌,257758,bacteria,常见背景微生物
Streptococcus pyogenes,Both,化脓链球菌,1314,bacteria,化脓链球菌是革兰氏阳性菌，又称作A组链球菌。口咽粘膜及伤口是常见的定植部位，可存在无症状携带者。化脓性链球菌是眼科中较为罕见的眼部病原体，化脓性链球菌可以感染免疫正常患者的健康角膜，常见的是眼睑炎、结膜炎和角膜炎。全球可识别bacteria的眼部感染平均4.3%继发于化脓性链球菌。感染症状为角膜瘢痕、穿孔和眼内炎等并发症。
Streptococcus salivarius,Both,唾液链球菌,1304,bacteria,唾液链球菌是革兰氏阳性菌，兼性厌氧菌，属于口腔链球菌，主要存在于人的口腔和上呼吸道中，为条件致病菌。有报道唾液链球菌引起的玻璃体腔药物注射后急性眼内炎1例，病情恶化迅速，伴有视网膜血管炎。也有报道该菌引起的内源性眼内炎和角膜交联术后角膜炎。
Streptococcus sanguinis,Both,血红链球菌,1305,bacteria,该菌常寄居于鼻咽、口腔、龈隙、消化道、女性生殖道，偶见于皮肤，是牙周的有益菌，但又属条件致病菌，当拔牙或摘除扁桃体时，寄居在口腔、龈隙中的bacteria即可侵入血流，一般情况下，少量菌很快被肝、脾、淋巴结和骨髓中的吞噬细胞所清除。若心瓣膜有病损或人工瓣膜者，bacteria就可定植繁殖，引起心内膜炎。有免疫缺陷或有基础疾病的患者可导致败血症，也可成为脑、肝和腹腔内感染的病原菌。在眼科中，有研究报道该菌是青光眼滤过手术继发眼内炎的常见病原体之一。
Streptococcus suis,Pathogenicity,猪链球菌,1307,bacteria,猪链球菌(SS)是猪链球菌病的主要病原菌，同时也是一种重要的人畜共患病病原体，可引起人脑膜炎，其次是败血症、关节炎、心内膜炎和眼内炎。
Streptococcus vestibularis,Pathogenicity,前庭链球菌,1343,bacteria,前庭链球菌是一种α溶血性链球菌，是viridans组的成员，该组首先从人口腔的前庭粘膜中分离出来，与唾液链球菌存在共生现象。并于1988年被描述为新物种。它很少与人类感染相关。有报道称它是免疫抑制成人和患有其他严重基础疾病（例如冠状动脉瓣膜疾病）患者全身感染的病因。与感染性心内膜炎、椎骨骨髓炎以及大肠癌等胃肠道疾病有一定相关性。临床曾报道一例ICRS植入后由前庭链球菌引起的角膜炎，起病症状为眼红眼痛、视力丧失，眼科检查发现有沿环段的点状白色浸润和角膜基质水肿。
Suid alphaherpesvirus 1,Both,猪疱疹viral1 型/伪狂犬病viral,10345,viral,猪疱疹viral 1 型，又称为伪狂犬病viral，是一种双链 DNA 包膜viral，以猪为自然宿主，可感染多种家畜及野生动物。2018 年以来，相继有研究者在基因水平上证实了人感染 PRV 病例的存在。结合已报道病例， 人感染猪疱疹viral 1 型可引起脑炎、视网膜炎或眼内炎。
Torque teno midi virus 8,Background,TTMDV,2065049,viral,常见背景微生物
Torque teno virus,Background,TTV,68887,viral,常见背景微生物
Torque teno virus 10,Background,TTV-10,687349,viral,常见背景微生物
Torque teno virus 11,Background,TTV-11,687350,viral,常见背景微生物
Torque teno virus 12,Background,TTV-12,687351,viral,常见背景微生物
Torque teno virus 13,Background,TTV-13,687352,viral,常见背景微生物
Torque teno virus 16,Background,TTV-16,687355,viral,常见背景微生物
Torque teno virus 18,Background,TTV-18,687357,viral,常见背景微生物
Torque teno virus 19,Background,TTV-19,687358,viral,常见背景微生物
Torque teno virus 20,Background,TTV-20,687359,viral,常见背景微生物
Torque teno virus 22,Background,TTV-22,687361,viral,常见背景微生物
Torque teno virus 24,Background,TTV-24,687363,viral,常见背景微生物
Torque teno virus 27,Background,TTV-27,687366,viral,常见背景微生物
Torque teno virus 29,Background,TTV-29,687368,viral,常见背景微生物
Torque teno virus 7,Background,TTV-7,687346,viral,常见背景微生物
Toxoplasma gondii,Both,刚地弓形虫,5811,protozoa,弓形虫是一种专性细胞内原虫。弓形虫病是由刚地弓形虫引起的感染性疾病，表现为中枢神经系统和其他系统受累。刚地弓形虫可引起眼弓形虫病，其主要表现为弓形虫性视网膜脉络膜炎，典型的眼部表现为局灶性坏死性视网膜炎，活动性与陈旧性往往同时存在，形成“卫星”状病灶。
Treponema pallidum,Both,梅毒螺旋体,160,bacteria,梅毒螺旋体可引起梅毒，梅毒是一种性传播或血源性感染疾病，在眼部可引起多种类型的梅毒性葡萄膜炎，如角膜葡萄膜炎、急性虹膜睫状体炎、脉络膜视网膜炎、视网膜血管炎等。
Vittaforma corneae,Both,Vittaforma corneae,42399,fungi,Vittaformacorneae通过感染性孢子通过空气或水传播。Vittaforma corneae可引起角结膜炎，其病程较长，表现为眼红眼痛，基质浸润和角膜变薄，Vittaforma corneae也被报道可引起微孢子虫性眼内炎，可有玻璃体出血、多灶性视网膜炎、动脉炎和黄斑水肿渗出表现。
Weizmannia coagulans,Both,凝结芽孢杆菌,1398,bacteria,又称Bacillus coagulans，凝结芽孢杆菌是兼性厌氧革兰氏阳性菌，在有氧及无氧的环境下都可生长，能适应低氧的肠道环境，对酸和胆汁有较高的耐受性，能够进行乳酸发酵，产生的L-乳酸能降低肠道pH值，抑制有害菌，并能促进双歧杆菌等有益菌的生长和繁殖。凝结芽孢杆菌能够形成芽孢，与其他不产乳酸的芽孢杆菌相比有利于恢复胃肠道的微生态平衡。由于其优异的稳定性，它已被广泛应用于医药，食品和化学工业。该属微生物易引起免疫低下患者角膜感染，其中最常见的眼科病原体为蜡样芽胞杆菌。
